[2020-04-23 09:25:49] [ INFO ] [GotprojectApplication:117] Ruta: L: N N O N N O S O O N N O S S S S S E E E E E 
[2020-04-23 09:25:49] [ INFO ] [GotprojectApplication:117] Ruta: S: S S E E N E N E S E S S O S E E 
[2020-04-23 09:25:49] [ INFO ] [GotprojectApplication:117] Ruta: B: N N N E S E N N E N E E S S S S S 
[2020-04-23 09:25:49] [ INFO ] [GotprojectApplication:117] Ruta: T: E S S S O S E E N E S S E E 
[2020-04-23 09:25:49] [ INFO ] [GotprojectApplication:71] datos csv[[Ljava.lang.String;@78a645f4, [Ljava.lang.String;@7d09dcb2, [Ljava.lang.String;@67265e69, [Ljava.lang.String;@3145403, [Ljava.lang.String;@49d73870]
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual30turno actual2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:3)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual0turno actual3
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual0turno actual3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual24turno actual3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:4)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual1turno actual4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Eddard [com.example.gotproject.Llave@26]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual6turno actual4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual18turno actual4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:5)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual7turno actual5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Eddard [com.example.gotproject.Llave@26, com.example.gotproject.Llave@36]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual12turno actual5
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Robbert [com.example.gotproject.Llave@37]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual12turno actual5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:6)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Daenerys [com.example.gotproject.Llave@3a]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual13turno actual6
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Eddard [com.example.gotproject.Llave@26, com.example.gotproject.Llave@36, com.example.gotproject.Llave@3a]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual13turno actual6
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Robbert [com.example.gotproject.Llave@37, com.example.gotproject.Llave@3b]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual13turno actual6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:7)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual14turno actual7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual19turno actual7
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual19turno actual7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:8)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 4
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 5
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 6
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 7
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 8
[2020-04-23 09:25:49] [ INFO ] [Personajes:99] llaves Eddard [com.example.gotproject.Llave@26, com.example.gotproject.Llave@36, com.example.gotproject.Llave@3a, com.example.gotproject.Llave@29]
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Stark@5e3530c9 sala actual8turno actual8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 9
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 10
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 11
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 12
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 13
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 14
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 15
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 16
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 17
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 18
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Targaryen@361a0a0e sala actual18turno actual8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 19
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 20
[2020-04-23 09:25:49] [ INFO ] [Personajes:84] personaje: com.example.gotproject.Baratheon@2932d282 sala actual20turno actual8
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 21
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 22
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 23
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 24
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 25
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 26
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 27
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 28
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 29
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 30
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 31
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 32
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 33
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 34
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 35
[2020-04-23 09:25:49] [ INFO ] [Mapa:196] (turno:9)
[2020-04-23 09:25:49] [ INFO ] [Mapa:197] (mapa:35)
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 0
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 1
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 2
[2020-04-23 09:25:49] [ INFO ] [Sala:59] sala 3
